"filename", "language", "Batch", "C", "C++", "Shell Script", "Makefile", "CMake", "LinkerScript", "JSON", "TypeScript", "CMake Cache", "Log", "comment", "blank", "total"
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\query\client-vscode\query.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\cache-v2-1008921f43837508ce96.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1407, 0, 0, 0, 0, 1, 1408
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\cmakeFiles-v1-b7b7bb0a897f5d2e28a9.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 518, 0, 0, 0, 0, 1, 519
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\codemodel-v2-19cc9bcddf192e20e9ec.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 1, 160
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\directory-source.boot-Debug-e32ed8e172d18c41a714.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\directory-source.kernel-Debug-4384d93899d7b295e598.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\directory-source.loader-Debug-c085dfc97c955badf5e0.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 1, 15
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\index-2023-09-24T13-29-25-0424.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 0, 1, 133
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\target-boot-Debug-5ea8ed6e8a6ae6a7a7fc.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 1, 170
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\target-kernel-Debug-cbb3c3e1512e4bf7078b.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 1, 260
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\target-loader-Debug-5ab35eea75faa00ae433.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 1, 178
"d:\OS\diy-x86os-master\start\start\build\.cmake\api\v1\reply\toolchains-v1-6d77e51ed99702ad4e51.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 1, 62
"d:\OS\diy-x86os-master\start\start\build\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 345, 0, 0, 82, 427
"d:\OS\diy-x86os-master\start\start\build\CMakeFiles\3.23.1\CMakeASMCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 7, 21
"d:\OS\diy-x86os-master\start\start\build\CMakeFiles\3.23.1\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 18, 73
"d:\OS\diy-x86os-master\start\start\build\CMakeFiles\3.23.1\CMakeRCCompiler.cmake", "CMake", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\OS\diy-x86os-master\start\start\build\CMakeFiles\3.23.1\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 6, 16
"d:\OS\diy-x86os-master\start\start\build\CMakeFiles\3.23.1\CompilerIdC\CMakeCCompilerId.c", "C", 0, 633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 135, 829
"d:\OS\diy-x86os-master\start\start\build\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\OS\diy-x86os-master\start\start\build\CMakeFiles\CMakeError.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 60, 120
"d:\OS\diy-x86os-master\start\start\build\CMakeFiles\CMakeOutput.log", "Log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 21, 47
"d:\OS\diy-x86os-master\start\start\build\CMakeFiles\Makefile.cmake", "CMake", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 6, 127
"d:\OS\diy-x86os-master\start\start\build\Makefile", "Makefile", 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 53, 47, 183
"d:\OS\diy-x86os-master\start\start\build\cmake_install.cmake", "CMake", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 10, 58
"d:\OS\diy-x86os-master\start\start\build\compile_commands.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 67
"d:\OS\diy-x86os-master\start\start\build\source\boot\CMakeFiles\CMakeDirectoryInformation.cmake", "CMake", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"d:\OS\diy-x86os-master\start\start\build\source\boot\CMakeFiles\boot.dir\DependInfo.cmake", "CMake", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 7, 32
